Id;Taksonsorteringsrekkefølge;Valideringsstatus;Rødlistekategori;Artsnavn;Vitenskapelig navn;Autor;Skjermet funn;Antall;Enhet;Alder;Kjønn;Aktivitet;Metode;Superlokalitet;Lokalitetsnavn;Østkoordinat;Nordkoordinat;Nøyaktighet;Originale koordinater;Fylke;Kommune;Fylke;IKKE I NORGE;Ekstern id;Startdato;Stattidspunkt;Sluttdato;Sluttidspunkt;Kommentar;Ikke gjenfunnet;Usikker artsbestemmelse;Uspontan;Natursystem;Natursystem beskrivelse;Livsmedium;Vitenskapelig livsmediumnavn;Art som livsmedium, beskrivelse;Livsmedium;Livsmediumbeskrivelse;Min. dybde;Maks. dybde;Høyde min;Høyde maks;Offentlig samling;Privat samling;Samlingsnummer;Samlingsbeskrivelse;Artsbestemt av;Bestemmelsesdato;Bekrefter;Bekreftelsesdato;Redigeringsansvarlig;Rapportør;Observatører;Prosjekt
32291756;70416360;Godkjent basert på observatørens opplysninger;;sibirpiplerke;Anthus hodgsoni;Richmond, 1907;Nei;1;; ; ; ;;;Myken;388959;7406900;2000;Ø388959, N7406900 Sone 33 (±2000m) UTM(WGS 84);Nordland;Rødøy;;;;2022-10-02;;2022-10-02;;;FALSE;FALSE;FALSE;;;;;;;;;;;;; ;;;;;;;BirdLife Norge;Steve Baines;Magnhild Johansen, Atle Ivar Olsen, Bjørn Fuldseth, Øivind Wathne Johannessen;
32291745;70416360;Godkjent. Foto eller lyd gransket av validator;;sibirpiplerke;Anthus hodgsoni;Richmond, 1907;Nei;1;; ; ;Næringssøkende;;Myken;Skola;388939;7406700;75;;Nordland;Rødøy;;;;2022-09-30;;2022-10-01;;;FALSE;FALSE;FALSE;;;;;;;;;;;;; ;;;;;;;BirdLife Norge;Steve Baines;Magnhild Johansen, Atle Ivar Olsen;
32291732;70416360;Godkjent basert på sjeldenhetsrapport;;sibirpiplerke;Anthus hodgsoni;Richmond, 1907;Nei;2;; ; ;Næringssøkende;;Røstlandet;Nesset;377968;7492939;701;;Nordland;Røst;;;;2022-09-29;;2022-09-30;;;FALSE;FALSE;FALSE;;;;;;;;;;;;; ;;;;;;;BirdLife Norge;Steve Baines;John Stenersen, Håvard Eggen, Random Person, Richard Hals Gylseth, Steve Baines, Thor Edgar  Kristiansen;
31527256;70416360;Godkjent. Foto eller lyd gransket av validator;;sibirpiplerke;Anthus hodgsoni;Richmond, 1907;Nei;1;; ; ;Ringmerket;;;Nyrud;1061478;7736423;0;Ø1061460, N7736420 Sone 33 (±0m) UTM(WGS 84);Troms og Finnmark;Sør-Varanger;;;;2022-09-10;;2022-09-17;;;FALSE;FALSE;FALSE;;;;;;;;;;;;; ;;;;;;;BirdLife Norge;Tor Olsen;Random Person, Nils Fredriksen, Michael Fredriksen, Thomas Nielsen, Anders Faugstad Mæland;
31113167;70416360;Godkjent. Foto eller lyd gransket av validator;;sibirpiplerke;Anthus hodgsoni;Richmond, 1907;Nei;1;;1K+; ;Ringmerket;;;Sula;178400;7096300;0;;Trøndelag;Frøya;;;;2022-09-29;;2022-09-30;;;FALSE;FALSE;FALSE;;;;;;;;;;;;; ;;;;;;;BirdLife Norge;Andreas Winnem;Jon Helle, Random Person, Emil Krokan;
31113164;70416360;Godkjent. Foto eller lyd gransket av validator;;sibirpiplerke;Anthus hodgsoni;Richmond, 1907;Nei;1;;1K+; ;Næringssøkende;;;Sula;178400;7096300;0;;Trøndelag;Frøya;;;;2022-09-23;;2022-09-26;;;FALSE;FALSE;FALSE;;;;;;;;;;;;; ;;;;;;;BirdLife Norge;Andreas Winnem;Gudrun Engan Tronsaune, Morten Vang, Kjell Stokke, Random Person, Emil Krokan, Benjamin Grimsby;
31068368;70416360;Godkjent. Foto eller lyd gransket av validator;;sibirpiplerke;Anthus hodgsoni;Richmond, 1907;Nei;2;; ; ;Næringssøkende;;;Titran;169328;7077536;0;Ø169328, N7077536 Sone 33 (±0m) UTM(WGS 84);Trøndelag;Frøya;;;;2022-09-26;;2022-09-30;;Min. 2 ind. (1 rm.) i perioden. ;FALSE;FALSE;FALSE;;;;;;;;;;;;; ;;;;;;;BirdLife Norge;Andreas Winnem;Oskar Sigurd Fredagsvik, Karl Thorvaldsen, Ronny Sætherhaug, Erlend Kvalø, Random Person, Nils Valland, Stig Wahlberg, Bjørg Støen, Terje Gimnes, Øyvind Aas, Erik Bangjord, Jan Egil Larsen, Wictor Wahlberg, Svein Gjelle, Bjørn S. Tanem, Magne Myklebust, Einar Sæter;
31062105;70416360;Godkjent. Foto eller lyd gransket av validator;;sibirpiplerke;Anthus hodgsoni;Richmond, 1907;Nei;1;; ; ; ;;Vaggatem;Ellentjørna;1054877;7742023;0;Ø1054860, N7742020 Sone 33 (±0m) UTM(WGS 84);Troms og Finnmark;Sør-Varanger;;;;2022-09-22;12:30:00;2022-09-22;12:30:00;;FALSE;FALSE;FALSE;;;;;;;;;;;;; ;;;;;;;Birk Schulze;Birk Schulze;Birk Schulze;
30527031;70416360;Godkjent basert på sjeldenhetsrapport;;sibirpiplerke;Anthus hodgsoni;Richmond, 1907;Nei;1;;1K+; ;Ringmerket;;Titran;Suzukidammen;169216;7077438;117;Ø169216, N7077438 Sone 33 (±117m) UTM(WGS 84);Trøndelag;Frøya;;;;2022-10-15;10:00:00;2022-10-15;12:00:00;;FALSE;FALSE;FALSE;;;;;;;;;;;;; ;;;;;;;Kjetil Aadne Solbakken;Kjetil Aadne Solbakken;André  Sundet, Ingar Sundet, Elisabeth Sofie Solbakken, Beata Solbakken, Kjetil Aadne Solbakken;
30520814;70416360;Godkjent basert på sjeldenhetsrapport;;sibirpiplerke;Anthus hodgsoni;Richmond, 1907;Nei;1;;;;;;;Utsira;-74589;6618093;0;Ø-74587, N6618093 Sone 33 (±0m) UTM(WGS 84);Rogaland;Utsira;;;;2022-10-14;;2022-10-14;;Antatt ny fugl, Herberg vis a vis hagen til Sveinung, Oppdaget av Øystein og Jon Ludivg, bilder finnes;FALSE;FALSE;FALSE;;;;;;;;;;;;; ;;;;;;;"Utsira Fuglestasjon
";Torborg Berge;Øystein Nilsen, Mark Thomson, Jon Ludvig Hals, Håkon Heggland;
